name	Publisher	Developer	ReleaseDate-US	minHoldDuration	maxHoldDuration	up-control_fixed_reset	up-control_prev_mult	up-control_gravity	up-fixed_fixed_reset	up-fixed_prev_mult	up-fixed_gravity	ground_fixed_reset	ground_prev_mult	ground_gravity	down_fixed_reset	down_prev_mult	down_gravity	down_reset	up-control_reset	up-fixed_reset	ground_reset
"AddamsFamily,TheU.HA_0"	Ocean Software	Ocean Software	1/1/92	1	100	1.423617815	0	-0.678109849	-1.836784978	11.27338754	-0.042194825	0	0	0	None	None	None	None	None	None	None
"AddamsFamily,TheU.HA_1"	Ocean Software	Ocean Software	1/1/92	1	40	-242.8509274	0	280.8994834	-84.82758621	-9.95E-14	868.9655172	0	0	0	31.99921409	3281.552993	233.5498166	None	None	None	None
"AddamsFamily,TheU.HA_2"	Ocean Software	Ocean Software	1/1/92	1	40	-242.8509274	0	280.8994834	-84.82758621	-9.95E-14	868.9655172	0	0	0	31.99921409	3281.552993	233.5498166	None	None	None	None
Amagon_U_[a1]-0.HA_0	Vic Tokai	Aicom	4/1/89	1	1	None	None	7.137971834	None	None	-4050	None	None	1.20E-11	None	None	502.2995138	16.57525098	-12.39859826	-67.5	3.73E-12
BalloonFightJU.HA_0	Nintendo	Nintendo	8/16/86	1	1	None	None	None	-41.91176471	0	414.7058824	108.0278363	0	-491.7019713	0	0	0	None	None	None	None
Batman-ReturnoftheJokerU.HA_0	Sunsoft	Sunsoft	12/20/91	1	1	None	None	None	-284.569521	0	447.1438456	0	0	0	30.12872669	1271.532374	670.1842478	None	None	None	None
Batman-ReturnoftheJokerU.HA_1	Sunsoft	Sunsoft	12/20/91	1	20	-254.2738531	0	278.0225966	49.69208211	7593.782991	612.0234604	0	0	0	30.12872669	1271.532374	670.1842478	None	None	None	None
Batman-ReturnoftheJokerU.HA_2	Sunsoft	Sunsoft	12/20/91	1	20	-352.4556713	0	558.5420771	49.69208211	7593.782991	612.0234604	0	0	0	25.3513168	335.9103888	780.049355	None	None	None	None
Batman-ReturnoftheJokerU.HA_3	Sunsoft	Sunsoft	12/20/91	1	20	-254.2738531	0	278.0225966	49.69208211	7593.782991	612.0234604	0	0	0	30.12872669	1271.532374	670.1842478	None	None	None	None
Batman-ReturnoftheJokerU.HA_4	Sunsoft	Sunsoft	12/20/91	1	20	-254.2738531	0	278.0225966	49.69208211	7593.782991	612.0234604	0	0	0	30.12872669	1271.532374	670.1842478	None	None	None	None
BatmanU.HA_0	Konami	Konami	1/1/93	1	1	None	None	None	-206.3876124	0	199.8858382	0	0	0	0.310972758	0	275.2361715	None	None	None	None
BattletoadsU.HA_0	Rare	Tradewest	6/1/91	1	60	-295.552346	0	291.738081	-38.40160528	1588.191319	636.2748553	0	0	0	101.3058774	4449.252914	237.1378851	None	None	None	None
CastlevaniaII-SimonsQuestUSA.HA_0	Konami	Konami	12/1/88	1	1	None	None	None	-231.4099956	0	385.0508625	0	0	0	23.90092879	0	356.6563467	None	None	None	None
CastlevaniaII-SimonsQuestUSA.HA_1	Konami	Konami	12/1/88	1	1	None	None	None	-231.4099956	0	385.0508625	0	0	0	23.90092879	0	356.6563467	None	None	None	None
CastlevaniaIII-DraculasCurseUSA.HA_0	Konami	Konami	9/1/90	1	1	None	None	None	-237.0278638	0	465.3250774	0	0	0	-61.256917	0	375.6521739	None	None	None	None
CastlevaniaIII-DraculasCurseUSA.HA_1	Konami	Konami	9/1/90	1	1	None	None	None	-237.0278638	0	465.3250774	0	0	0	-61.256917	0	375.6521739	None	None	None	None
CastlevaniaUSA.HA_0	Konami	Konami	5/1/87	1	1	None	None	None	-196.006192	0	344.5820433	0	0	0	-67.46019198	0	386.4257482	None	None	None	None
CastlevaniaUSA.HA_1	Konami	Konami	5/1/87	1	1	None	None	None	-196.006192	0	344.5820433	0	0	0	-67.46019198	0	386.4257482	None	None	None	None
ChipnDaleRescueRangersUSA.HA_0	Capcom	Capcom	6/1/90	1	20	-379.9640014	0	593.2371735	-485.3932584	56.62921348	3600	0	0	0	46.1813767	866.0520449	553.3528934	None	None	None	None
ClashAtDemonheada1.HA_0	Vic Tokai	Vic Tokai	1/1/90	1	1	None	None	None	-314.6463007	0	456.8136319	0	0	0	22.07140072	0	389.2570006	None	None	None	None
DarkwingDuck_USA_.HA_0	Capcom	Capcom	6/1/92	1	1	None	None	455.5341957	None	None	-0.724725604	None	None	-9.19E-12	None	None	401.7075046	53.7259009	-287.7388017	6.940525697	3.25E-12
DonkeyKongJr.MathU.HA_0	Nintendo	Nintendo	10/18/85	1	1	None	None	None	-64.17032967	0	103.8461538	0	0	0	-18.73126873	0	134.8651349	None	None	None	None
GhostsnGoblinsUSA.HA_0	Capcom	Capcom	11/1/86	1	20	-139.3034056	0	155.1083591	0	0	0	-2.98E-13	7.96E-13	6.89E-13	27.54104719	0	289.7220427	None	None	None	None
HudsonsAdventureIslandIIIUSA.HA_0	Technos Japan	Technos Japan	9/1/92	1	1	None	None	None	0	0	0	3.991159323	380.4941159	-25.00435399	0	0	0	None	None	None	None
HudsonsAdventureIslandIIIUSA.HA_1	Technos Japan	Technos Japan	9/1/92	1	1	None	None	None	0	0	0	3.991159323	380.4941159	-25.00435399	0	0	0	None	None	None	None
HudsonsAdventureIslandIIUSA.HA_0	Technos Japan	Taito	2/1/91	1	20	-316.7045288	0	350.6786645	8.769230769	1047.420814	472.39819	-12.57283749	1135.691753	-235.1936974	65.76009785	0	326.7519008	None	None	None	None
